trave_points,stars,users,price,num_of_features,beach,bar,massage,child_care,restaurant_show,bike_rent,car_rent,rooftop,fitness,spa,inclusive,billyard,swimming_pool,kitchen,fishing
9.0,5,1615,7163758,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9.0,5,3034,2968140,6,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
9.3,5,238,5025016,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8.6,4,579,822949,6,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0
8.2,4,1640,983787,6,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0
8.5,3,1481,644000,5,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
8.7,4,3222,697210,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
8.6,4,10573,590030,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
8.5,4,3067,674030,6,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
9.0,3,1084,1120745,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.8,4,2679,683855,6,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
8.7,4,2654,997536,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
8.3,4,3430,574958,5,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
8.6,5,4070,1903707,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8.5,4,2974,687600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.6,5,22,4762375,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
8.4,3,1369,341382,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9.1,4,353,1976393,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
8.2,4,4745,645551,6,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
8.5,4,3016,956221,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8.6,3,2806,457938,6,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
8.7,4,3353,614590,6,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0
8.8,3,2676,695555,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8.6,3,5170,675689,4,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
9.1,5,1122,2937916,6,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
8.8,4,4611,657984,6,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
8.8,5,901,1748096,6,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
8.3,4,3092,443657,6,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
8.9,5,310,5845158,6,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
8.8,5,1627,3376786,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8.5,3,1884,607872,4,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
8.7,5,1225,1975031,6,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0
8.7,4,570,1247692,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
