name,trave_points,stars,users,price,num_of_features,all_features,location
The Apurva Kempinski Bali, 9 ,5,(1.615),Rp 6.630.282,6,"['Tenda pantai', 'Penitipan anak', 'Bar pantai', 'Kursi berjemur pantai', 'Handuk pantai', 'Bar']","Nusa Dua Beach, Nusa Dua"
Potato Head Suites & Studios, 9.3 ,5,(239),Rp 4.837.044,6,"['Bar pantai', 'Kursi berjemur pantai', 'Handuk pantai', 'Pusat kebugaran', 'Check-out ekspress', 'Bar']","Seminyak, Kuta"
The Anvaya Beach Resort Bali, 9 ,5,(3.034),Rp 2.809.024,6,"['Restoran show cooking', 'Area main anak', 'Penitipan anak', 'Layanan pijat', 'Pusat kebugaran', 'Bar']","Kuta, Badung"
Wyndham Garden Kuta Beach Bali, 8.2 ,4,(1.645),Rp 949.911,6,"['Penitipan anak', 'Penyewaan sepeda', 'Sewa mobil', 'Layanan pijat', 'Bar di kolam renang', 'Sauna']","Kuta, Badung"
Four Star by Trans Hotel, 8.6 ,4,(581),Rp 795.870,6,"['Layanan pijat', 'Pusat kebugaran', 'Teras rooftop', 'Fasilitas bisnis', 'Aksesibel bagi penyandang disabilitas', 'Spa']","Denpasar Selatan, Denpasar"
Quest Hotel Kuta by ASTON, 8.5 ,3,(1.489),Rp 573.574,5,"['Jacuzzi', 'Sewa mobil', 'Layanan pijat', 'Bar di kolam renang', 'Bar']","Tuban, Kuta"
Harper Kuta by ASTON, 8.7 ,4,(3.226),Rp 663.466,5,"['Layanan pijat', 'Antar-jemput bandara', 'Sauna', 'Spa', 'Bar']","Legian, Kuta"
YELLO Hotel Kuta Beachwalk Bali, 9 ,3,(1.087),Rp 1.028.959,1,['Antar-jemput bandara'],"Kuta, Badung"
Aston Denpasar Hotel & Convention Center, 8.5 ,4,(3.070),Rp 614.570,6,"['Area main anak', 'Layanan pijat', 'Pusat kebugaran', 'Bar di kolam renang', 'Antar-jemput bandara', 'Spa']","Denpasar Utara, Denpasar"
Atanaya Kuta Bali, 8.6 ,4,(10.574),Rp 529.016,3,"['Bar di kolam renang', 'Aksesibel bagi penyandang disabilitas', 'Kursi berjemur tepi kolam']","Kuta, Badung"
Brits Hotel Legian, 8.8 ,4,(2.685),Rp 601.221,6,"['Tanda khusus bagi tuna netra', 'Area main anak', 'Layanan pijat', 'Pusat kebugaran', 'Kursi berjemur tepi kolam', 'Bar']","Legian, Kuta"
Sense Sunset Seminyak, 8.3 ,4,(3.440),Rp 561.258,5,"['Klub anak', 'Layanan pijat', 'Pusat kebugaran', 'Spa', 'Bar']","Seminyak, Kuta"
Kanvaz Village Resort Seminyak, 9.1 ,4,(355),Rp 1.742.297,4,"['Penyewaan sepeda', 'Perpustakaan', 'Aksesibel bagi penyandang disabilitas', 'Bar']","Seminyak, Kuta"
Primera Hotel Seminyak, 8.4 ,3,(1.372),Rp 319.921,1,['Kursi berjemur tepi kolam'],"Seminyak, Kuta"
HARRIS Hotel Kuta Galleria, 8.5 ,4,(2.975),Rp 601.575,0,[],"Kuta, Badung"
Aston Kuta Hotel & Residence, 8.7 ,4,(2.656),Rp 931.086,6,"['Klub anak', 'Penyewaan sepeda', 'Handuk pantai', 'Fasilitas bisnis', 'Antar-jemput bandara', 'Bar']","Kuta, Badung"
Quest San Hotel Denpasar by ASTON, 8.6 ,3,(5.175),Rp 611.028,4,"['Layanan pijat', 'Bar di kolam renang', 'Antar-jemput bandara', 'Spa']","Denpasar Barat, Denpasar"
The Meru Sanur, 9.6 ,5,(25),Rp 4.219.006,6,"['Bersepeda atau bersepeda gunung', 'Klub anak', 'Handuk pantai', 'Layanan pijat', 'Payung pantai', 'Perpustakaan']","Sanur, Bali"
Lv8 Resort Hotel, 8.6 ,5,(4.072),Rp 1.748.771,6,"['Selancar', 'Volley', 'Volley pantai', 'Bar di kolam renang', 'Check-out ekspress', 'Bar']","Canggu, Kuta Utara"
BEST WESTERN Kuta Villa, 8.2 ,4,(4.749),Rp 613.016,6,"['Layanan pijat', 'Bar di kolam renang', 'Kursi berjemur tepi kolam', 'Check-out ekspress', 'Spa', 'Bar']","Kuta, Badung"
Natya Hotel Kuta, 8.6 ,3,(2.808),Rp 421.174,6,"['Pool atau Snooker', 'Karaoke', 'Bar di kolam renang', 'Aksesibel bagi penyandang disabilitas', 'Check-out ekspress', 'Bar']","Kuta, Badung"
Sovereign Bali Hotel, 8.7 ,4,(3.353),Rp 564.152,6,"['Restoran show cooking', 'Layanan pijat', 'Pusat kebugaran', 'Fasilitas bisnis', 'Bar di kolam renang', 'Sauna']","Tuban, Kuta"
Hotel Neo+ Kuta - Legian by ASTON, 8.8 ,3,(2.679),Rp 616.206,3,"['Penyewaan sepeda', 'Sewa mobil', 'Antar-jemput bandara']","Legian, Kuta"
Golden Tulip Jineng Resort Bali, 8.5 ,4,(3.017),Rp 906.427,6,"['Area main anak', 'Klub anak', 'Pusat kebugaran', 'Fasilitas bisnis', 'Antar-jemput bandara', 'Bar']","Kuta, Badung"
Hilton Bali Resort, 8.8 ,5,(1.628),Rp 3.106.043,6,"['Golf', 'Area main anak', 'Tennis', 'Klub kesehatan', 'Pusat kebugaran', 'Bar']","Nusa Dua Beach, Nusa Dua"
Aryaduta Bali, 8.8 ,5,(901),Rp 1.604.570,6,"['Restoran show cooking', 'Pusat kebugaran', 'Fasilitas bisnis', 'Bar di kolam renang', 'Aksesibel bagi penyandang disabilitas', 'Bar']","Kuta, Badung"
THE 1O1 Bali Fontana Seminyak, 8.7 ,4,(2.083),Rp 706.718,6,"['Area main anak', 'Layanan pijat', 'Pusat kebugaran', 'Aksesibel bagi penyandang disabilitas', 'Kursi berjemur tepi kolam', 'Bar']","Legian, Kuta"
Daun Bali Seminyak Hotel, 8.8 ,4,(4.611),Rp 618.471,6,"['Restoran show cooking', 'Aktivitas outdoor', 'Handuk pantai', 'Layanan pijat', 'Spa', 'Bar']","Seminyak, Kuta"
Hotel Neo Denpasar by ASTON, 8.5 ,3,(1.885),Rp 584.206,4,"['Penyewaan sepeda', 'Sewa mobil', 'Spa', 'Bar']","Denpasar Barat, Denpasar"
Grand Mega Resort & Spa, 8.3 ,4,(3.094),Rp 452.616,6,"['Bar', 'Layanan pijat', 'Pusat kebugaran', 'Bar di kolam renang', 'Kursi berjemur tepi kolam', 'Bar']","Kuta, Badung"
Mega Boutique Hotel & Spa, 8.5 ,4,(6.584),Rp 505.284,6,"['Tenda di tepi kolam', 'Layanan pijat', 'Pusat kebugaran', 'Bar di kolam renang', 'Kursi berjemur tepi kolam', 'Bar']","Kuta, Badung"
Amaris Teuku Umar Denpasar, 8.2 ,2,(2.059),Rp 451.133,1,['Check-out ekspress'],"Denpasar Barat, Denpasar"
Alila Seminyak, 8.9 ,5,(310),Rp 5.550.141,6,"['Selancar', 'Bar pantai', 'Fasilitas bisnis', 'Bar di kolam renang', 'Aksesibel bagi penyandang disabilitas', 'Bar']","Seminyak, Kuta"
Ramada Encore by Wyndham Bali Seminyak, 8.6 ,4,(4.113),Rp 723.456,6,"['Bar', 'Area main anak', 'Layanan pijat', 'Bilyar', 'Bar di kolam renang', 'Bar']","Seminyak, Kuta"
City of Aventus Hotel - Denpasar, 8.8 ,4,(199),Rp 549.916,5,"['Layanan pijat', 'Pusat kebugaran', 'Fasilitas bisnis', 'Aksesibel bagi penyandang disabilitas', 'Spa']","Denpasar Barat, Denpasar"
Rofa Kuta Hotel, 8.1 ,3,(6.606),Rp 372.711,6,"['Ruang santai', 'Area main anak', 'Layanan pijat', 'Kursi berjemur tepi kolam', 'Check-out ekspress', 'Spa']","Legian, Kuta"
The Lerina Hotel Nusa Dua, 8.5 ,4,(2.471),Rp 442.934,6,"['Olahraga air', 'Layanan pijat', 'Pusat kebugaran', 'Bar di kolam renang', 'Check-out ekspress', 'Bar']","Nusa Dua, Kuta Selatan"
PrimeBiz Hotel Kuta, 8.7 ,3,(2.898),Rp 458.623,4,"['Layanan pijat', 'Antar-jemput bandara', 'Spa', 'Bar']","Kuta, Badung"
The Trans Resort Bali, 9.1 ,5,(1.124),Rp 2.651.060,6,"['Jacuzzi', 'Layanan pijat', 'Mandi uap', 'Pusat kebugaran', 'Spa', 'Bar']","Seminyak, Kuta"
favehotel Sunset Seminyak, 8.6 ,3,(1.671),Rp 450.290,5,"['Penitipan anak', 'Sewa mobil', 'Layanan pijat', 'Bar di kolam renang', 'Spa']","Seminyak, Kuta"
Horison Kuta Bali, 8.7 ,0,(428),Rp 474.495,4,"['Teras rooftop', 'Fasilitas bisnis', 'Check-out ekspress', 'Bar']","Kuta, Badung"
THE 1O1 Bali Oasis Sanur, 8.7 ,4,(573),Rp 1.152.210,1,['Spa'],"Sanur, Bali"
Bali Beach Hotel, 9.8 ,5,(31),Rp 2.947.749,6,"['Bersepeda atau bersepeda gunung', 'Klub anak', 'Handuk pantai', 'Layanan pijat', 'Payung pantai', 'Perpustakaan']","Sanur, Bali"
Prime Plaza Hotel Sanur – Bali, 8.7 ,4,(1.500),Rp 984.710,6,"['Jacuzzi', 'Sewa mobil', 'Layanan pijat', 'Pusat kebugaran', 'Bilyar', 'Bar']","Sanur, Bali"
Aralea Coliving, 9.3 ,3,(332),Rp 419.522,5,"['Pengering pakaian', 'Handuk pantai', 'Teras rooftop', 'Fasilitas bisnis', 'Kursi berjemur tepi kolam']","Denpasar Barat, Denpasar"
Azana Boutique Hotel Denpasar, 8.8 ,3,(80),Rp 447.944,5,"['Kursi berjemur', 'Fasilitas bisnis', 'Bar di kolam renang', 'Aksesibel bagi penyandang disabilitas', 'Bar']","Denpasar Barat, Denpasar"
The Sun Hotel & Spa, 8.5 ,4,(3.260),Rp 436.129,6,"['Jacuzzi', 'Area main anak', 'Penyewaan sepeda', 'Layanan pijat', 'Spa', 'Bar']","Legian, Kuta"
"The Westin Resort Nusa Dua, Bali		", 8.9 ,5,(1.073),Rp 3.896.589,6,"['Ruang santai', 'Bar pantai', 'Fasilitas bisnis', 'Bar di kolam renang', 'Aksesibel bagi penyandang disabilitas', 'Bar']","Nusa Dua Beach, Nusa Dua"
Discovery Kartika Plaza Bali, 8.7 ,5,(1.225),Rp 1.714.302,6,"['Basket', 'Volley pantai', 'Bilyar', 'Fasilitas bisnis', 'Antar-jemput bandara', 'Bar']","Kuta, Badung"
